,อำเภอ,NDVI_Dry,NDMI_Dry,NDVI_Wet,Drought_Score,NDVI_Anomaly,NDMI_Anomaly,Rainfall_2024_mm,Rainfall_Deficit
1,HuaiRat,0.2673,-0.1883,0.6539,0.8806,-0.0089,-0.0074,79.3,-74.2
2,NaPho,0.2939,-0.1874,0.7251,0.8564,0.0141,-0.0083,110.8,-56.1
3,BanMaiChaiPho,0.3077,-0.1713,0.7059,0.8284,0.0071,-0.0048,122.9,-28.1
4,Phlapphlachai,0.3087,-0.1718,0.6206,0.8257,0.0056,-0.0047,89.2,-67.4
5,Krasang,0.3022,-0.1568,0.6096,0.8163,-0.0066,-0.0102,68.4,-86.6
6,MuangBuriRam,0.2914,-0.1408,0.6419,0.8075,-0.0007,0.0038,94.0,-55.0
7,Phutthaisong,0.3231,-0.1522,0.6984,0.7945,0.011,0.0018,118.0,-31.3
8,LamPlaiMat,0.3307,-0.1477,0.6628,0.7839,0.0111,-0.0003,114.9,-43.2
9,PrakhonChai,0.3291,-0.1414,0.6408,0.7772,0.0063,-0.0038,100.0,-73.5
10,ChamNi,0.3425,-0.1349,0.6539,0.7614,0.0215,0.0037,113.5,-55.3
11,K.BanDan,0.3238,-0.1183,0.6694,0.7613,0.0091,0.004,105.7,-51.2
12,NangRong,0.3407,-0.1274,0.6547,0.7546,0.0276,0.0068,117.4,-73.6
13,NongKi,0.3415,-0.1127,0.6363,0.74,0.0412,0.0246,120.2,-59.4
14,NongHong,0.3471,-0.1141,0.6737,0.7368,0.0367,0.0277,117.8,-59.3
15,Chalermphrakiet,0.3338,-0.1006,0.6746,0.7348,0.0186,0.0077,121.0,-75.4
16,KhuMuang,0.3726,-0.0924,0.6739,0.6923,0.022,0.0192,123.1,-27.4
17,Satuk,0.3682,-0.0837,0.6487,0.6873,0.0132,0.0095,94.1,-67.2
18,PaKham,0.3797,-0.0817,0.6494,0.6759,0.0122,0.0013,111.3,-118.8
19,NonSuwan,0.4113,-0.0373,0.7158,0.6044,0.0219,0.0154,122.5,-75.2
20,K.DaenKong,0.4672,-0.0117,0.6955,0.5299,0.0154,0.0102,117.4,-34.0
21,BanKruat,0.4869,-0.0058,0.7239,0.505,-0.0034,-0.0133,84.0,-111.2
22,LahanSai,0.489,0.0314,0.7123,0.4707,-0.0095,-0.0158,98.1,-120.0
23,NonDinDaeng,0.6221,0.1486,0.7675,0.2552,0.0087,-0.0025,114.8,-133.4
